우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574677|참시렁골길|Chamsireonggol-gil|0|82|0|4415035021102820000016240|||3611035021||도계리||0|282|01|0||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574677|참시렁골길|Chamsireonggol-gil|0|83|0|4415035021102800001018048|||3611035021||도계리||0|280|01|1||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|397|9|4415035021101540020018015|||3611035021||도계리||0|154|01|20||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|398|9|4415035021101680003016311|||3611035021||도계리||0|168|01|3||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|398|3|4415035021101680002018054|||3611035021||도계리||0|168|01|2||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|398|1|4415035021101680002018035|||3611035021||도계리||0|168|01|2||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|408|6|4415035021101670001018110|||3611035021||도계리||0|167|01|1||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|398|18|4415035021102010000016294|||3611035021||도계리||0|201|01|0||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|386|11|4415035021101880000017993|||3611035021||도계리||0|188|01|0||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|417|2|4415035021101600006016329|||3611035021||도계리||0|160|01|6||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|421|0|4415035021101600004016333|||3611035021||도계리||0|160|01|4||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|397|4|4415035021101540017018011|||3611035021||도계리||0|154|01|17||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|399|0|4415035021101540016018025|||3611035021||도계리||0|154|01|16||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|401|0|4415035021101540014018043|||3611035021||도계리||0|154|01|14||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|405|1|4415035021101540013018055|||3611035021||도계리||0|154|01|13||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|405|0|4415035021101540013018064|||3611035021||도계리||0|154|01|13||
